code,word,translation
1,emperor,n. n. 皇帝；君主
2,exact,a. a. 精确的；准确的
3,traditional,a. a. 传统的，惯例的；口传的，传说的
4,lack,n./vt. n./vt. 缺乏，不足，没有
5,pardon,n./vt.
6,regent,n. n. 摄政者（代国王统治者）
7,burgeon,vi. vi. 迅速成长；发展
8,argue,v. v. 争论；说服
9,barely,ad. ad. 仅仅，几乎不；赤裸裸地，无遮蔽地
10,methane,n. n. 甲烷，沼气
11,hierarchy,n. n. 领导层；层次，等级
12,guidance,n. n. 指引，指导
13,easy-going,a. a.脾气随和的，心平气和的；随便的
14,electrical,a. a.电的，电学的，有关电的
15,electronic,a. a.电子的
16,philosophy,n. n.哲学；哲理
17,chronic,a. a.（疾病）慢性的；积习难改的
18,desirable,a. a.值得拥有的；合意的；可取的，有利的
19,consortium,n. n.集团；财团；社团，协会
20,buckle,n./v. n.皮带扣环 v.扣紧；（使）变形；弯曲
21,curry,n./vt.
22,subliminal,a. a.下意识的，潜意识的
23,chamber,n. n.室；洞穴；（枪）膛
24,frequent,a. a.频繁的，常见的，常用的
25,prosperous,a. a.繁荣的，兴旺的；成功的
26,purpose,n./v. n.目的，意图；用途，效果； v.打算，企图，决心
27,variety,n. n.品种，种类；变化，多样化
128,immigration,n. n.外来的移民；移居
29,natural,a. a.正常的，普通的，自然的；自然界的，天然的；天赋的，固有的
30,bet,v./n. v.赌，打赌 ；n.打赌，赌注
31,consumer,n. n.消费者；用户
32,physician,n. n.内科医生，医师
33,equal,a./vt. a.相等的 vt.比得上
34,resort,n./vi. n.求助；诉诸；胜地； vi.求助；诉诸
35,leadership,n. n.领导，领导层；领导能力
36,equity,n. n.公平，公正
37,excavate,vt. vt.挖掘，开凿
38,nuclear,a. a.核能的，原子能的
39,mutual,a. a.相互的；共同的
40,hectare,n. n.公顷
41,density,n. n.密集；浓度，密度
42,massive,a. a.大而重的，厚实的，粗大的；大量的，大规模的
43,congratulate,vt. vt.祝贺
44,companion,n. n.共事者；同伴
45,rig,vt./n. vt.操纵，垄断； n.船桅（或船帆等）的装置；成套器械
46,input,n./vt. n.投入，输入；输入的数据； vt.把……输入计算机
47,merely,ad. ad.仅仅，只不过
48,impart,vt. vt.给予，赋予；传授；告知，透露
49,forfeit,v./n. v.（因犯规等而）丧失，失去； n.罚款；代价
50,calorie,n. n.卡（路里），大卡（食物的热量）
51,van,n. n.运货车
52,ventilation,n. n.空气流通；通风设备，通风方法
53,intermediate,a. a.中间的，中级的
54,eternal,a. a.永恒的
55,invasion,n. n.入侵，侵略
256,nevertheless,ad./conj. ad.仍然；然而； conj.然而，不过
57,celebrate,v. v.赞扬，歌颂；庆祝
58,inspiring,a. a.鼓舞（或激励）人心的；启发灵感的
59,attendance,n. n.到场，出席；出勤；伺候，照料
60,optional,a. a.可选择的，非强制的，随意的
61,enable,vt. vt.使能够，使成为可能
62,departmental,a. a.部门的
63,heal,v. v.治愈，康复；调停
64,dismantle,vt. vt.拆除；废除，取消
65,wage,n. n.工资；［常pl.］报酬
66,landscape,n./vt. n.风景 ；vt.对……作景观美化，美化（自然环境等）
67,emotion,n. n.感情；情绪
68,commonwealth,n. n.［the C-］英联邦；联合体
69,newsletter,n. n.时事通讯，业务通讯
70,periodical,n./a. n.期刊，杂志； a.周期的，定期的
71,receptionist,n. n.接待员
72,security,n. n.安全，保障；抵押品；［pl.］证券
73,clip,n.
74,apace,ad. ad.快速地，急速地
75,yield,n./v. n.产量 ；v.出产；放弃
76,fair,a./ad. a./ad.公平的／地
77,regional,a. a.局部范围的；地方（性）的，区域性的；全地区的，整个地区的
78,secure,v./a. v.得到某物，获得；防护，保卫；a.安全的；可靠的，放心的
79,preserve,vt. vt.保护；维持；保存，保藏；腌渍
80,reject,vt.拒绝；n.被拒货品，不合格品
81,code,n./vt. n.密码；代码；vt.把……编码
82,seek,v. v.寻找；探索；追求
83,item,n. n.条款，项目；（新闻等）一则
384,crown,n. n.王冠；花冠；齿冠
85,effort,n. n.努力，艰难的尝试；成就
86,point,n./v.
87,review,vt./n. vt.回顾；复习；评论；n.回顾；评论
88,fabrication,n. n.捏造，伪造；制作；构成
89,series,n. n.一系列，连续；丛书
90,variation,n. n.变化，变动；变种，变异；变更；变奏
91,margin,n./v. n.差额，差距；页边空白；边缘；余地；幅度；v.加旁注于；加边于
92,distraction,n. n.分散注意力的事；使人分心的事；娱乐，消遣
93,complicate,vt. vt.使变复杂
94,tram,n./v. n.有轨电车，电车轨道；v.乘电车
95,maturity,n. n.成熟；完善，完备，准备就绪；到期（应付款）
96,download,v. v.下载
97,refer,v. v.参考，查阅，查询；提到，谈及；引用；提交，上呈
98,interview,v./n. v./n.接见，会见；采访；面试
99,extent,n. n.范围；面积；广度，长度；程度
100,evacuate,v. v.疏散；撤离
101,stint,n. n.定量；限额
102,embankment,n.筑堤；堤岸，路基
103,squash,n./v. n.软式墙网球，壁球；v.压碎，挤压；挤进，塞入；镇住，镇压；制止
104,federation,n. n.联邦；同盟
105,surge,v./n. v.（人群等）蜂拥而出；波动，涌动；n.（感情等的）洋溢；猛增
106,physical,a./n. a.身体的，肉体的；物理的，物理学的；物质的，有形的；n.体检
107,justify,v. v.证明……为正当的；为……辩护
108,score,v./n.
109,persuade,v. v.说服，劝说；使相信
110,migration,n. n.迁徙，移居，移民
111,overweight,a./n./vt. a.超重的，过重的；n.超重，过重；vt.使负担过重
112,cooperation,n.合作，协作；配合
113,zoological,a.动物学的
114,stamp,v./n.
115,whistle,v./n. v.吹口哨；n.口哨；呼啸而过
116,detective,n./a. n.侦探；a.侦探的
117,occupy,vt. vt.占用，占领；（使）忙碌于；（使）从事
118,ceremony,n. n.典礼；仪式
119,diagnose,v. v.诊断；判断
120,denote,v. v.表示，指示；意味着
121,chink,n./v. n.裂缝，裂口；一缕光；叮当声；v.（使）发出叮当声
122,iris,n. n.（pl.irises或irides）虹；（眼球的）虹膜
123,resource,n.［pl.］资源，财力；应付办法，谋略；应变之才
124,entire,a. a.全部的，整个的
125,epitomise,vt. vt.集中体现；概括
126,crocodile,n. n.鳄鱼；鳄鱼皮
127,summit,n. n.（山等的）最高点，峰顶
128,ensure,vt. vt.确保，保证；担保；赋予
129,odour,n. n.气味
130,accurate,a. a.正确无误的；精确的
132,tender,a. a.嫩的；脆弱的；温柔的
133,willing,a. a.愿意的，乐意的
134,perform,v. v.履行，执行，完成；表演，演出；（机器）运作
135,seep,vi. vi.漏出，渗漏
136,ambassador,n.大使，使节
137,delinquency,n.失职；行为不良
138,deliberate,a.故意的；深思熟虑的；从容不迫的；v.深思熟虑；审议
139,implication,n. n.含意；暗示，暗指；卷入，牵连
5140,broom,n. n.扫帚
141,opponent,n./a. n.敌手，对手；反对者；a.对立的，对抗的
142,sponsor,n./vt. n.发起者，赞助人，主办者；主顾；vt.发起，主办；赞助，资助；惠顾
143,decisive,a. a.决定性的；果断的
144,substantial,a. a.可观的，大量的；坚固的，结实的；实质的；大体上的
145,questionnaire,n.问卷，调查表
146,viewpoint,n. n.观点，看法
147,routine,n./a. n.例行公事；惯例；a.例行的；常规的
148,nurture,vt./n. vt.培养；滋养；n.营养品
149,slight,a./vt./n. a.轻微的，不足道的；纤细的，瘦弱的；vt./n.轻视，藐视，轻蔑
150,genetic,a./n. a.遗传的；n.［-s］遗传学
151,similarly,ad. ad.同样地，类似地
152,leak,n./v. n.漏洞；泄露；v.（使）漏，（使）渗出
153,literature,n. n.文学（作品）；文献
154,suffer,v. v.遭受，忍受；忍耐；容许；患病；受损失
155,impede,vt. vt.阻碍，妨碍
156,spring,n./v.
157,biological,a. a.生物的；生物学的，有关生物学的
158,deduce,v. v.演绎，推断
159,doctorate,n. n.博士学位
160,absolute,a. a.完全的，绝对的，纯粹的
161,theoretical,a. a.理论（上）的
162,internship,n. n.实习生身份；实习医师
163,slender,a. a.修长的，细长的，苗条的；微小的，微薄的
164,respondent,n. n.回答者，响应者；调查对象；被告
165,surroundings,n. n.周围的事物，环境
166,couple,n./v. n.（一）对，（一）双；夫妇；v.连接，联合，结合；结婚
167,voluntary,a. a.自愿的，志愿的
168,submarine,n.潜水艇；a.水底的，海底的
169,commercial,a./n. a.商业的，商品化的，贸易的；n.商业广告
170,notion,n. n.概念，观念；想法
171,lavatory,n. n.盥洗室，厕所
172,tablet,n. n.药片
173,actual,a. a.实际的；真实的
174,fold,v./n. v.折叠；n.皱；折
175,instrument,n. n.仪器；手段；工具；乐器
176,simplify,vt. vt.使简化
177,compulsory,a. a.义务的；必须做的；强制性的；（课程）必修的
178,irritation,n. n.激怒，恼怒；刺激物，恼人的事
179,expense,n. n.花费，开支；消费，消耗；代价，损失
180,muddle,n./vt.
181,originate,v. v.起源，发生；首创，创造
182,induce,vt. vt.引诱，劝使；引起，导致；感应
183,exchange,v./n.
184,disharmony,n.不一致；不和谐
185,cosset,vt./n. vt.宠爱，溺爱；n.宠儿
186,unique,a. a.唯一的，独一无二的；极不寻常的，极好的
187,crossword,n. n.纵横填字游戏
188,atomic,a. a.原子（能）的
189,disagree,v. v.不同意；不一致
190,check-up,n. n.检查
191,silt,n./v. n.淤泥；v.（用淤泥）阻塞
192,inclusive,a.
193,reservation,n. n.保留意见，存疑；预定，预订
194,transcript,n. n.抄本，副本；文字记录
195,include,v. v.包括，包含；计入
7196,reasonable,a. a.合理的，有道理的；通情达理的；适度的
197,abode,n. n.房屋，家，住所
198,gadget,n. n.小巧的器械，精巧的装置；小玩意
199,emergency,n. n.紧急情况，突发事件
200,legacy,n. n.遗产；遗赠
201,leisure,n. n.空闲时间；悠闲
202,overlap,v. v.（使）部分重叠，交叠
203,counterpart,n. n.与对方地位相当的人；配对物；副本
204,tune,vt./n. vt.调音；调节，调整；n.调子；和谐
205,strike,v./n. v.打；折磨；n.罢工
206,ambiguous,a. a.含糊其辞的；不明确的，模棱两可的
207,represent,vt. vt.代表；表示；表现
208,vanish,vi. vi.突然消失；不复存在，消逝
209,mechanism,n. n.机械装置；机制，机理；办法
210,dispute,n./v. n.争论，争端，争吵；v.对……表示异议；争论，争吵
211,furniture,n. n.家具
212,standard,n./a. n.标准；a.标准的
213,typical,a. a.典型的
214,strengthen,vt. vt.加强，巩固
215,workaholic,n.工作狂
216,unaware,a. a.未意识到的
217,erosion,n. n.腐蚀；磨损
218,exclusively,ad. ad.专有地，专门地
219,feather,n. n.羽毛，翎毛
220,pronounceable,a.（指声音）发得出的；（指词）可发音的
221,bare,a. a.赤裸的，光秃的
222,luggage,n. n.行李
223,hose,n./vt. n.软管；vt.用软管淋
8224,bulb,n. n.灯泡
225,internal,a. a.内部的；国内的
226,ion,n. n.离子
227,cruise,v.n. v.航游，巡航；（出租车、船等）缓慢巡行；n.航游，游弋
228,illusion,n. n.幻想中的事物，错误的观念；错觉，幻觉，假象
229,shave,n./v. n./v.修面
230,incredible,a. a.不可信的；难以置信的
231,vertebrate,n./a. n.脊椎动物；a.有脊椎的
232,industrious,a. a.勤奋的，勤勉的，勤劳的
233,intestine,n. n.【解】肠
234,outpost,n. n.前哨（站）；偏远村落（站）
235,general,a./n. a.一般的，普通的；全体的，普遍的；大体的，概括的；首席的；n.将军
236,bother,v./n. v.打扰，烦扰；烦恼，操心；n.麻烦，烦扰
237,consignment,n.交付，委托；投递，发送；所托运的货物
238,administrator,n.管理者，管理人员；行政人员
239,convention,n. n.大会，会议；惯例，常规，习俗；公约，协定
240,organic,a. a.器官的；有机的；有机体的；组织的
241,trapeze,n. n.高空秋千；吊架
242,intersection,n. n.道路交叉口，十字路口
243,concept,n. n.概念，观念；设想
244,cardiovascular,a.心血管的
245,humble,a./vt.
246,lecture,n. n.演讲，讲课
247,counter,n./ad. n.柜台；ad.相反
248,brass,n. n.黄铜；黄铜器；铜管乐器
249,fauna,n. n.（某地区或某时期的）所有动物
250,expel,vt. vt.把……开除；驱逐
251,equator,n. n.（地球）赤道
9252,invest,v. v.投资；投入（时间、精力等）；授予，赋予
253,essay,n. n.（作为课程作业的）短文，文章；评论文
254,dedicate,vt. vt.献（身）；（在著作等上）题献词
255,astrology,n. n.占星学；占星术
256,attain,vt. vt.达到；获得；完成
257,divisional,a. a.部门的
258,ambition,n. n.雄心，抱负；野心
259,range,n./v.
260,ultimate,a./n.
261,counsellor,n. n.顾问，辅导顾问
262,flap,v./n. v.拍打；（翅膀）拍动；n.薄片；封盖；振动；激动
263,wastage,n. n.消耗量；损耗；（雇员的）减员
264,earthquake,n. n.地震
265,device,n. n.装置，设备，仪表；方法；设计；手段，策略
266,regulate,v. v.管制，控制；调节，校准；调整
267,mould,n./v.
268,potential,a./n. a.潜在的；可能的；n.潜力，潜能
269,discretion,n. n.判断力；谨慎，审慎；明智
270,ambitious,a. a.有抱负的，有雄心的，有野心的
271,brief,a./n./vt.
272,dorm,n. n.宿舍
273,substitute,v./n. v.代替，替换；n.代替者，代替物，代用品
274,striking,a. a.显著的，惹人注目的
275,pirate,n./vt. n.侵犯版权者；海盗；vt.盗用，盗版
276,refrigerator,n.冰箱；冷藏库
277,minimise,vt. vt.使减到最低限度；最小化
278,imaginative,a.富有想象力的；创新的
279,profit,n./v. n.利润；益处；v.有利于；获益
10280,decrepit,a. a.破旧的；衰老的
281,ignorant,a. a.无知的；愚昧的
282,leopard,n. n.豹，美洲豹
283,mastery,n. n.精通，熟练；控制
284,forecast,n./vt. n./vt.预报；预测；预想
285,precision,n. n.准确，精确；精确度
286,quote,n./v.
287,comparative,a.比较的；相当的
288,recruit,v./n.
289,gloss,n./v.
290,committee,n. n.委员会，全体委员
291,exile,vt.放逐，流放，使流亡；n.流放，流亡；被流放者，背井离乡者，流犯
292,representative,n.代表，代理人；a.典型的，有代表性的
293,reverse,n./a./v.
294,finance,vt.为……提供资金；n.财政，金融；［常pl.］财务情况
295,resign,v. v.辞职；辞去；放弃
296,preparation,n. n.准备（工作），预备；制剂
297,eyesight,n. n.视力
298,thrive,vi. vi.兴旺，繁荣
299,judgment,n. n.意见；审判；判断（力）
300,outward,a. a.外面的；外表的，表面的
301,consequently,ad.因此，因而
302,entertain,v. v.（使）欢乐，（使）娱乐；招待
303,withstand,vt.抵挡；经受住
304,anthropologist,n.人类学家
305,comb,n./v. n.梳子；蜂巢；（鸡等的）肉冠，冠状物；v.梳理；搜寻，彻底搜查
306,suitably,ad. ad.合适地，适宜地，相称地
307,pulley,n. n.滑轮；滑车
11308,privilege,n./vt. n.特权，优惠，特许；vt.给予特权，特别优待
309,infrastructure,n.基础结构，基础设施
310,allocate,vt. vt.分配；分派
311,qualification,n.资格，合格；技能；限定，条件；合格证
312,expand,v. v.（使）膨胀，（使）扩张；张开，展开；详述
313,trap,n./vt.
314,intern,vt.拘禁，软禁；n.实习生
315,repaint,v. v.重新油漆，重画
316,specialist,n. n.专家；专科医生
317,migratory,a. a.迁徙的，移居的；流动的，游牧的
318,nutrition,n. n.营养；营养学
319,inlet,n. n.入口；进（水）口，水湾
320,censor,vt./n. vt.审查，检查（书报）n.检查员
321,widespread,a. a.分布广的；普遍的
322,hazard,n./v. n.危险，冒险；v.尝试着做（或提出）；冒……风险
323,rear,a./n./v. a.后方的，后部的；背后的；n.后部，尾部；v.饲养，抚养；种植
324,shareholder,n.股票持有人；股东
325,bid,n./v. n./v.出价；投标
326,alight,a./vi. a.点着的；vi.降落，飞落；从（公共汽车等）下来
327,credit,vt./n.
328,shrewd,a. a.机灵的；精明的
329,desert,n.沙漠；荒地；a.沙漠的；荒凉的；v.舍弃
330,conclude,v. v.推断出；作结论
331,explosive,n./a. n.爆炸物，炸药；a.爆炸的，爆发的；使人冲动的
332,inherent,a. a.内在的；生来就有的
333,world-wide,a./ad. a./ad.遍及全球的／地
334,grope,v. v.（暗中）摸索
335,lever,vt./n. vt.（用杠杆）撬动；n.杠杆；施压手段
12336,ethical,a. a.（有关）道德的；伦理的
337,improvement,n.改进，进步；改进措施；改进处
338,vacant,a. a.未占用的，空的
339,truant,vi./n. vi.逃避责任；旷课；n.逃学者；逃避者
340,scandal,n. n.丑事，丑闻；恶意诽谤；流言飞语；反感，愤慨
341,latent,a. a.潜在的，潜伏的，不易察觉的
342,tenant,n. n.承租人；房客；佃户
343,psychiatric,a. a.精神病的；治疗精神病的
344,campfire,n.营火
345,bolster,vt./n. vt.支持，支撑；改善；n.垫子
346,immigrant,n. n.移民；侨民
347,sequence,n. n.一系列，一连串；顺序，次序
348,ecosystem,n. n.生态系统
